name,address,city,state,zip,lat,lon,phone,hours,county,category,visit_type,website
Robeson County Church & Community Center,600 W. 5th St.,Lumberton,NC,28358,34.621,-79.013,910-738-5204,"Mon, Tue, Wed, Fri 10:00 AM - 12:00 PM",Robeson,Pantry,Walk-in during hours listed,https://www.robesoncccc.org
Eagle's Nest Food Pantry (Robeson Community College),5160 Fayetteville Road,Lumberton,NC,28360,34.653,-79.093,910-272-3353,"Mon, Tue, Thu 10:30 AM - 1:30 PM",Robeson,Pantry,Walk-in during hours listed,
Antioch Baptist Church Food Pantry,5089 Old Whiteville Road,Lumberton,NC,28358,34.598,-78.978,910-739-9425,"Call for current hours",Robeson,Pantry,Call ahead to confirm current hours,
CARE Resource Center at UNC Pembroke,902 Dogwood Lane,Pembroke,NC,28372,34.679,-79.196,910-775-4367,"Mon, Wed, Fri 11:00 AM - 4:00 PM",Robeson,Pantry,Appointment required -- must attend a monthly workshop first,
BART Food Pantry,415 Country Club Drive,Lumberton,NC,28360,34.630,-79.050,Call 211 for current number,"Mon & Thu 11:00 AM - 12:00 PM",Robeson,Pantry,Walk-in during hours listed,
My Refuge,2020 W. 5th St.,Lumberton,NC,28358,34.622,-79.022,910-618-5600,"Tue-Sat lunch & dinner; Sun bagged lunches 1:30-2:00 PM (meals, not groceries)",Robeson,Pantry,Walk-in during hours listed,
Lumberton Christian Care Center,220 E. Second St.,Lumberton,NC,28358,34.621,-79.008,910-739-1204,"Call for current hours (free meals)",Robeson,Pantry,Call ahead to confirm current hours,
Long Branch Baptist Church Food Pantry (Lighthouse Ministries),8878 NC-72 East,Lumberton,NC,28358,34.650,-78.900,910-608-9756,"Saturday 10:00 AM - 12:00 PM",Robeson,Pantry,Walk-in during hours listed,
RCCC Mobile Assistance Unit -- St. Pauls Stop,Exact stop site varies by visit -- call ahead,Saint Pauls,NC,28384,34.797081,-78.968753,910-738-5204,"Schedule varies -- call RCCC to confirm the current day/time",Robeson,Mobile Stop,Walk-in on scheduled stop days only -- call first,https://www.robesoncccc.org
RCCC Mobile Assistance Unit -- Rowland Stop,Exact stop site varies by visit -- call ahead,Rowland,NC,28383,34.665311,-79.196744,910-738-5204,"Schedule varies -- call RCCC to confirm the current day/time",Robeson,Mobile Stop,Walk-in on scheduled stop days only -- call first,https://www.robesoncccc.org
RCCC Mobile Assistance Unit -- Maxton Stop,Exact stop site varies by visit -- call ahead,Maxton,NC,28364,34.711437,-79.318072,910-738-5204,"Schedule varies -- call RCCC to confirm the current day/time",Robeson,Mobile Stop,Walk-in on scheduled stop days only -- call first,https://www.robesoncccc.org
RCCC Mobile Assistance Unit -- Red Springs Stop,Exact stop site varies by visit -- call ahead,Red Springs,NC,28377,34.700472,-79.113936,910-738-5204,"Schedule varies -- call RCCC to confirm the current day/time",Robeson,Mobile Stop,Walk-in on scheduled stop days only -- call first,https://www.robesoncccc.org
RCCC Mobile Assistance Unit -- Fairmont Stop,Exact stop site varies by visit -- call ahead,Fairmont,NC,28340,34.623018,-79.148832,910-738-5204,"Schedule varies -- call RCCC to confirm the current day/time",Robeson,Mobile Stop,Walk-in on scheduled stop days only -- call first,https://www.robesoncccc.org
